OBJECTID,TREE_Genus,TREE_SpeciesCommonName,TREE_SpeciesLatinName,TREE_DBH,TREE_DBH_Range,TREE_Height_Range,TREE_Stems,TREE_Condition,TREE_PrimaryMaint,TREE_SecondaryMaint,TREE_FurtherInspection,TREE_ClearanceNeed,TREE_PruneType,TREE_Pest,TREE_OBS1,TREE_OBS2,TREE_OBS3,TREE_OBS4,TREE_OBS5,TREE_OBS6,TREE_OBS7,TREE_OBS8,TREE_OBS9,TREE_OBS10,TREE_OBS11,TREE_OBS12,TREE_OBS13,TREE_Notes,SITE_Building,SITE_DirectionBldg,SITE_Address,SITE_Street,SITE_Utilities,SITE_GPSX,SITE_GPSY,SITE_ID,SITE_DATE,TYPE,TREE_OBS14,TREE_OBS15,TREE_OBS16,TREE_OBS17,TREE_OBS18,TREE_OBS19,TREE_OBS20,TREE_OBS21,TREE_SpCode,TREE_ReplacementCost,TREE_StructuralValue,TREE_Stormwater,TREE_Energy,TREE_AirQuality,TREE_Carbon,TREE_Aesthetic,TREE_TotalBenefit,x,y
5,Hickory,Pecan,Carya illinoinensis,24,6,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7114,32.466,1,5/2/2014 16:35,0,,,,,,,1,,CAIL,37435,450,90.73999786,23.73999977,-18.53000069,7.210000038,99.58999634,202.75,-99.71140404,32.46596777
8,Hickory,Pecan,Carya illinoinensis,21,5,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7114,32.466,2,5/2/2014 16:35,0,,,1,,1,1,1,,CAIL,28660,8769.96,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71138795,32.46604697
9,Hickory,Pecan,Carya illinoinensis,20,5,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7114,32.4662,3,5/2/2014 16:35,0,,,0,,1,1,1,,CAIL,25995,450,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71139331,32.46617144
10,Hickory,Pecan,Carya illinoinensis,17,4,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,,Sewell Theatre,2,1602,Campus Ct,0,-99.7113,32.4662,4,5/2/2014 16:35,0,,,0,,1,1,1,,CAIL,18780,450,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71127529,32.4662348
11,Hickory,Pecan,Carya illinoinensis,19,5,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7113,32.4662,5,5/2/2014 16:35,0,,,0,,1,1,1,,CAIL,23460,7178.76,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71125652,32.4661556
12,Hickory,Pecan,Carya illinoinensis,18,5,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,,Sewell Theatre,2,1602,Campus Ct,0,-99.7113,32.4661,6,5/2/2014 16:35,0,,,0,,1,1,1,,CAIL,21055,6442.83,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71127798,32.46607413
13,Hickory,Pecan,Carya illinoinensis,17,4,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7112,32.466,7,5/2/2014 17:08,0,,,,,1,1,1,,CAIL,18780,11493.36,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71124311,32.46595871
14,Hickory,Pecan,Carya illinoinensis,13,4,1,1,4,4,0,,0,2,,,,,,,,,,,,,,,,Sewell Theatre,2,1602,Campus Ct,0,-99.7112,32.4661,8,5/2/2014 17:08,0,,,,,0,1,1,,CAIL,10980,3359.88,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71117873,32.46607639
15,Hickory,Pecan,Carya illinoinensis,14,4,2,1,2,1,0,,0,2,,,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7112,32.4662,9,5/2/2014 17:08,0,,,,,1,1,1,,CAIL,12735,3896.91,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71117873,32.46619633
16,Hickory,Pecan,Carya illinoinensis,30,7,2,1,2,1,0,,0,2,,,,,,,,,,,,,,1,large wound at codom stem,Sewell Theatre,2,1602,Campus Ct,0,-99.7111,32.4663,10,5/2/2014 17:08,0,,,,1,1,0,0,,CAIL,58495,17899.47,132.2899933,29.79999924,-30.64999962,8.449999809,107.8099976,247.7100067,-99.71113045,32.46628911
